tb21_id,top10_task_ids,top10_sources,mean_overall
password-recovery,task_003508_09ead467|task_003280_ccd04de0|tw_18610|task_007450_eb5326aa|task_006731_0fd0f6ff|task_004052_623d2091|tw_289006|rts_task_14723a04fd9db0451a0fdf78|rts_task_0de8de88d5d2ea0f1352b639|pyca__cryptography-12286,TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|Recursive-Task-Synthesis|SWE-Rebench-Tasks-Clean,3.8
path-tracing,task_004627_eee00941|task_000009_8e53cc34|task_000014_a15a2b8a|task_000033_899176aa|task_000140_a41de773|task_000683_630e99e7|task_000089_caf1443c|task_003696_4aabd92d|amueller__word_cloud.ec24191c.combine_file__9bx7cdni|rts_task_6788e1acde34b028d2d8628f,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|SWE-Smith-Seeds-Clean|Recursive-Task-Synthesis,3.2
path-tracing-reverse,task_000764_177f2810|task_000007_eadb8636|task_000049_6bcb6be6|task_004392_fea5bf15|task_000865_49720626|task_000140_a41de773|task_000089_caf1443c|task_000174_0212094d|tw_134335|d0c-s4vage__pfp-126,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|SWE-Rebench-Tasks-Clean,4.1
polyglot-c-py,task_009068_ceebc4fa|task_002422_ccc838ee|pyccel__pyccel-264|task_006029_c732f1f4|task_004333_0e912343|pyccel__pyccel-2230|task_005942_dfc48f98|tw_12315|rts_task_59ae2da3d0ccc51f525f042a|tw_730164,TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean,2.8
polyglot-rust-c,tw_730164|task_006315_7ba72aba|rts_task_48df84de654aa6cc91465b6f|task_005942_dfc48f98|tw_317290|task_000113_5f736d5a|task_006408_a7697452|pyccel__pyccel-2038|rts_task_59ae2da3d0ccc51f525f042a|pygments__pygments.27649ebb.pr_2631,TerminalWorld-Seeds-Clean|TMax-15K|Recursive-Task-Synthesis|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|Recursive-Task-Synthesis|SWE-Smith-Seeds-Clean,3.4
portfolio-optimization,task_000171_b8f5cb4d|task_003888_e6eb8949|task_004272_43e6cead|task_003789_221005da|task_001662_5e49cf92|task_005423_55489854|task_001542_b8cc0717|task_003944_12979992|rts_task_e1c8c5fa243d311f29c1d6b6|pypa__setuptools-4676,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|Recursive-Task-Synthesis|SWE-Rebench-Tasks-Clean,3.7
protein-assembly,task_001544_7d95dda4|task_003839_04146172|task_002586_51207d88|tw_338534|task_002599_c0a64d58|tw_569867|task_001093_ed3a1a04|cogent3__cogent3-2269|task_006417_a70c9198|stanfordnlp__string2string.c4a72f59.func_pm_ctrl_shuffle__1qgp29ly,TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|SWE-Smith-Seeds-Clean,3.2
prove-plus-comm,tw_283245|rts_task_9bea742175cbc6b155920a37|rts_task_6a291fe3091645e67df2e8fe|rts_task_469ae9c3a2966eb3357a54fa|rts_task_ad7d91f8736c2607f4dd916b|rts_task_062c48c4e03486aab7ff1909|rts_task_d964e9090f1dde3103b00380|rts_task_70973a62de04b95fa960a073|tw_17407|tw_96480,TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|Recursive-Task-Synthesis|Recursive-Task-Synthesis|Recursive-Task-Synthesis|Recursive-Task-Synthesis|Recursive-Task-Synthesis|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean|TerminalWorld-Seeds-Clean,4.2
pypi-server,rts_task_9173775e4fed0b1b6ea3bb20|tw_485539|rts_task_9441741653d67b5f195565b5|rts_task_7f4fd9a04408e198c5f9b6c3|task_002897_90442cbb|rts_task_173dafbc789b2867d531fa17|rts_task_90cc157b700621a13838a6bc|pypa__bandersnatch-1557|tw_432894|task_006441_caacf65d,Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|Recursive-Task-Synthesis|TMax-15K|Recursive-Task-Synthesis|Recursive-Task-Synthesis|SWE-Rebench-Tasks-Clean|TerminalWorld-Seeds-Clean|TMax-15K,4.5
pytorch-model-cli,task_001129_becccfbc|task_004118_161aa034|task_005224_3e9e8c27|task_000333_7a82aa70|task_002905_eed70340|task_002643_a9c59761|task_008434_7c53cbf4|task_001561_d6785f7c|task_004890_fef8d0fc|task_003459_14b71242,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K,3.8
pytorch-model-recovery,task_001697_f00c5c92|task_008162_e3ba09cb|task_003298_a4854b3f|pyg-team__pytorch_geometric-8870|task_009562_91210c7c|task_007327_ccd3de90|task_004252_232ae5c5|task_001484_346a62f8|task_007296_a67e32b2|tw_718060,TMax-15K|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean,4.3
qemu-alpine-ssh,task_002324_f03c9c85|task_002862_e03f4cfc|task_004817_def41304|tw_11181|task_000021_ab956b8c|task_003133_85965df1|task_001459_aa5314fb|tw_436604|tw_132013|task_000179_6760c516,TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TerminalWorld-Seeds-Clean|TMax-15K,4.1
qemu-startup,task_003288_e131a9f5|task_000021_ab956b8c|task_001768_2c27d1a1|tw_103367|task_002862_e03f4cfc|task_001459_aa5314fb|task_001948_e6b385d8|tw_101115|task_003133_85965df1|rts_task_d93992a3c6883751d31ffd9e,TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|Recursive-Task-Synthesis,4.2
query-optimize,task_004065_3151b4eb|task_000640_14732821|task_000576_0dbfb38a|task_000012_58fdcccc|task_000130_6b3152f5|task_002785_d7d4d4b4|tobymao__sqlglot.036601ba.lm_rewrite__28ucmg0j|task_000706_c338fab9|task_000427_bfb3d39e|tobymao__sqlglot.036601ba.lm_rewrite__croj8akp,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|SWE-Smith-Seeds-Clean|TMax-15K|TMax-15K|SWE-Smith-Seeds-Clean,4.1
raman-fitting,task_005968_01db9842|task_003567_2bffa97d|task_001144_e1380e49|task_003588_e3556b7c|task_003637_8afed63a|task_001259_b3d74bb6|task_004131_aa1a8b75|task_004935_05677e28|task_007380_892c66e7|rhayes777__pyautofit-876,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean,4.2
regex-chess,task_000330_15b96164|task_000246_a1b7a5cc|task_000462_5b0f16f7|task_000140_a41de773|hypothesisworks__hypothesis-2983|tw_134335|rts_task_e310969f514289c50fccce04|task_006111_f9cc96c1|axelrod-python__axelrod-638|task_000002_8be5378a,TMax-15K|TMax-15K|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K,3.4
regex-log,task_000071_74a60bf5|rts_task_35132947ff66120393d1befa|task_005223_f66a60ed|task_002771_35d6f10f|task_000352_88055f14|task_003747_67da80a7|rts_task_38015ef16f15c68ca0575081|task_001130_5a244d2f|pallets__werkzeug-2596|tw_316425,TMax-15K|Recursive-Task-Synthesis|TMax-15K|TMax-15K|TMax-15K|TMax-15K|Recursive-Task-Synthesis|TMax-15K|SWE-Rebench-Tasks-Clean|TerminalWorld-Seeds-Clean,4.0
reshard-c4-data,task_002193_2697352f|task_002475_22f2fc1c|task_003344_882b8d3c|task_002545_4033c847|task_002832_36c7197a|borgbackup__borg-8872|task_002263_aecf536f|rts_task_80f1685212d62033bd158b5e|dask__dask.5f61e423.pr_11337|rts_task_c908e2ac29d8388fff4c4d55,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|Recursive-Task-Synthesis|SWE-Smith-Seeds-Clean|Recursive-Task-Synthesis,3.7
rstan-to-pystan,task_005281_b7cba125|task_005102_2c84eabc|task_002064_da683645|task_000032_5b0167e2|task_004918_680dc94a|task_000999_563abc34|task_000651_7d72ef55|gpflow__gpflow-2096|task_004494_dbb6143e|task_000283_b8c17c0d,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|TMax-15K,3.8
sam-cell-seg,task_004252_232ae5c5|tw_588262|task_003459_14b71242|task_002016_29630eda|task_002047_85e1153f|vanvalenlab__deepcell-tf-673|task_009562_91210c7c|facebookresearch__fvcore.a491d5b9.lm_rewrite__mynbot4f|tw_105368|task_003173_377a6eb0,TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|SWE-Smith-Seeds-Clean|TerminalWorld-Seeds-Clean|TMax-15K,3.6
sanitize-git-repo,task_001329_30ac46c8|task_003538_037af2cd|tw_147333|task_003054_604bca66|task_004106_ffd2d064|task_000841_29b88124|rts_task_ade8f1eb8d6d543d1b223b92|task_002299_6f1836ab|rts_task_a1f849c57e17b4f4302493d0|tw_566624,TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TMax-15K|TMax-15K|Recursive-Task-Synthesis|TMax-15K|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean,4.1
schemelike-metacircular-eval,task_001481_3bacc41d|task_006210_e9532fdc|d0c-s4vage__pfp-128|tw_102792|erikrose__parsimonious.0d3f5f93.combine_file__twkln5sg|task_001320_249b9329|d0c-s4vage__pfp-116|task_000246_a1b7a5cc|tw_117921|rts_task_818c8049c58399477676d052,TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TerminalWorld-Seeds-Clean|SWE-Smith-Seeds-Clean|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis,4.1
sparql-university,task_007970_b2a35881|task_002880_220861be|task_009666_abedd235|task_004227_00e8d97f|task_006564_477da990|task_002912_e1cb19ea|task_004598_0625bd34|task_006928_07b803d0|kayak__pypika-54|tw_582963,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TerminalWorld-Seeds-Clean,4.3
sqlite-db-truncate,task_000419_b10fa09b|task_000117_20c3d5b7|task_000168_c6bc12fd|task_000355_be7d870f|task_000033_899176aa|tw_240491|task_000358_79df129c|task_000376_c445606a|tw_117526|d0c-s4vage__pfp-112,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|SWE-Rebench-Tasks-Clean,4.2
sqlite-with-gcov,task_005220_4fbd47df|task_004618_d562309e|rts_task_8bc9362364eccd860637ab4f|task_003443_adaae044|rts_task_afd60c089eb038e4ad5ef336|tw_8593|task_002996_9b750971|tw_17688|rts_task_5a41945f6aee8021462f8a93|tw_417753,TMax-15K|TMax-15K|Recursive-Task-Synthesis|TMax-15K|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean|TMax-15K|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean,4.2
torch-pipeline-parallelism,task_000816_72e21ee9|task_003980_d394a7e3|task_001552_7ed8f9bf|tw_668448|facebookresearch__fvcore.a491d5b9.lm_rewrite__m0xnjits|task_009562_91210c7c|keras-team__keras-20609|tw_718060|facebookresearch__fvcore.a491d5b9.lm_rewrite__pcccevul|task_003899_3e4bce86,TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|SWE-Smith-Seeds-Clean|TMax-15K|SWE-Rebench-Tasks-Clean|TerminalWorld-Seeds-Clean|SWE-Smith-Seeds-Clean|TMax-15K,3.3
torch-tensor-parallelism,task_000816_72e21ee9|task_001030_45a9959c|pymc-devs__pytensor-1231|tw_718060|task_009503_05e189db|facebookresearch__fvcore.a491d5b9.lm_rewrite__m0xnjits|keras-team__keras-20609|task_003742_b2a4ee18|tw_668448|cornellius-gp__gpytorch-216,TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TerminalWorld-Seeds-Clean|TMax-15K|SWE-Smith-Seeds-Clean|SWE-Rebench-Tasks-Clean|TMax-15K|TerminalWorld-Seeds-Clean|SWE-Rebench-Tasks-Clean,3.2
train-fasttext,task_000802_aa7b130a|task_001191_5d4f858c|task_000644_9d78a6c5|task_002271_c43206b1|tw_323887|task_008886_49a94993|tw_18273|rts_task_6a81762bd5745f498f36b83e|task_001001_84c2fe4e|chardet__chardet.9630f238.func_pm_remove_cond__vjza6vvb,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TerminalWorld-Seeds-Clean|TMax-15K|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|TMax-15K|SWE-Smith-Seeds-Clean,3.5
tune-mjcf,task_000269_3b0056a6|task_004094_2c27cda3|task_003789_221005da|task_000693_bf5b334d|task_000157_45d18f63|pybamm-team__pybamm-645|task_000048_b0bd6829|pybamm-team__pybamm-794|task_000140_40bb239d|task_003614_bd7e07bf,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|SWE-Rebench-Tasks-Clean|TMax-15K|TMax-15K,3.6
video-processing,task_005142_dcf74738|task_005188_7a495235|task_004682_ee4637e7|task_000806_7d4b9e43|task_001939_8fc9003a|task_001336_579b1fb9|task_000113_8a2ee560|task_004431_2174d489|task_005069_828dd061|task_000251_ed1bdd92,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K,3.9
vulnerable-secret,task_002083_cb418851|tw_122689|tw_12180|task_000124_8c22fac5|rts_task_73c7b6eadc061cfadae4d4cc|task_009272_c6ca7bd4|rts_task_dfea171657e568b9e4d21591|task_001596_c83aef10|rts_task_5d6a0a000cb4fb920b833a82|task_000021_5e1d9408,TMax-15K|TerminalWorld-Seeds-Clean|TerminalWorld-Seeds-Clean|TMax-15K|Recursive-Task-Synthesis|TMax-15K|Recursive-Task-Synthesis|TMax-15K|Recursive-Task-Synthesis|TMax-15K,4.7
winning-avg-corewars,tw_346220|task_001395_746fbd2e|task_000246_a1b7a5cc|rts_task_0b9b2bac6586b91383a541a9|task_000386_43121cfd|task_000330_15b96164|rts_task_7d85005850abb7909afce1f7|tw_42850|rts_task_2607dd8e8b0d78f50ece4d7f|axelrod-python__axelrod-1113,TerminalWorld-Seeds-Clean|TMax-15K|TMax-15K|Recursive-Task-Synthesis|TMax-15K|TMax-15K|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|SWE-Rebench-Tasks-Clean,4.0
write-compressor,task_000185_d6f0bac7|task_004372_db336792|task_000601_fbd9ab23|task_001387_c62c554c|task_000033_899176aa|task_004971_c19ec3c8|task_000201_b4ef19d4|task_000591_320f1d26|task_001947_5bb356ea|task_000140_a41de773,TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K|TMax-15K,3.8
