tb21_id,top10_task_ids,top10_sources,mean_overall
pypi-server,rts_task_9173775e4fed0b1b6ea3bb20|rts_task_173dafbc789b2867d531fa17|rts_task_7f4fd9a04408e198c5f9b6c3|tw_485539|rts_task_70ff71f74af760685fa4c933|task_002897_90442cbb|software-engineering_20260414_211453_020|software-engineering_20260422_235124_007|task_05331|pypa__bandersnatch-1557,Recursive-Task-Synthesis|Recursive-Task-Synthesis|Recursive-Task-Synthesis|TerminalWorld-Seeds-Clean|Recursive-Task-Synthesis|TMax-15K|CalibForge|CalibForge|Terminal-Lego-15k|SWE-Rebench-Tasks-Clean,4.2
pytorch-model-cli,model-training_20260617_051646_002|model-training_20260612_191200_002|task_000333_7a82aa70|model-training_20260615_143956_002|task_004118_161aa034|model-training_20260606_172554_002|model-training_20260604_002443_002|software-engineering_20260617_210354_010|task_008434_7c53cbf4|model-training_20260617_051646_003,CalibForge|CalibForge|TMax-15K|CalibForge|TMax-15K|CalibForge|CalibForge|CalibForge|TMax-15K|CalibForge,4.3
pytorch-model-recovery,model-training_20260618_093107_003|model-training_20260505_093950_003|model-training_20260604_193356_003|task_009562_91210c7c|model-training_20260604_003113_003|task_007296_a67e32b2|pyg-team__pytorch_geometric-8870|model-training_20260604_003814_003|task_001697_f00c5c92|facebookresearch__fvcore.a491d5b9.func_pm_ctrl_shuffle__n9luhuy3,CalibForge|CalibForge|CalibForge|TMax-15K|CalibForge|TMax-15K|SWE-Rebench-Tasks-Clean|CalibForge|TMax-15K|SWE-Smith-Seeds-Clean,4.4
qemu-alpine-ssh,system-administration_20260606_172622_007|task_002324_f03c9c85|tw_11181|system-administration_20260606_172606_007|system-administration_20260601_053159_008|system-administration_20260604_193056_006|tw_436604|task_002862_e03f4cfc|system-administration_20260604_004411_002|task_02064,CalibForge|TMax-15K|TerminalWorld-Seeds-Clean|CalibForge|CalibForge|CalibForge|TerminalWorld-Seeds-Clean|TMax-15K|CalibForge|Terminal-Lego-15k,4.2
qemu-startup,system-administration_20260606_172622_007|system-administration_20260615_143301_008|system-administration_20260601_053159_008|task_007306_4c1f5e89|task_003464_52c8af89|system-administration_20260611_112034_008|task_003951_3539778b|task_002241_459c6324|task_10686|task_002324_f03c9c85,CalibForge|CalibForge|CalibForge|TMax-15K|TMax-15K|CalibForge|TMax-15K|TMax-15K|Terminal-Lego-15k|TMax-15K,4.3
query-optimize,data-science_20260604_003814_005|optimization_20260604_003814_001|optimization_20260606_153537_001|task_000926_eb2b990a|task_000576_0dbfb38a|tobymao__sqlglot.036601ba.lm_rewrite__croj8akp|task_000706_c338fab9|task_14355|task_08612|task_001048_6215242e,CalibForge|CalibForge|CalibForge|TMax-15K|TMax-15K|SWE-Smith-Seeds-Clean|TMax-15K|Terminal-Lego-15k|Terminal-Lego-15k|TMax-15K,4.2
raman-fitting,scientific-computing_20260419_065313_007|scientific-computing_20260415_123352_007|task_005968_01db9842|scientific-computing_20260606_172622_002|task_000242_341bf3b8|scientific-computing_20260509_111805_007|scientific-computing_20260508_045557_007|task_003567_2bffa97d|scientific-computing_20260416_031414_007|task_003588_e3556b7c,CalibForge|CalibForge|TMax-15K|CalibForge|TMax-15K|CalibForge|CalibForge|TMax-15K|CalibForge|TMax-15K,4.4
regex-chess,software-engineering_20260420_020307_021|task_14927|software-engineering_20260616_094815_022|software-engineering_20260604_002443_024|task_06208|software-engineering_20260610_111012_004|pygments__pygments.27649ebb.pr_2367|games_20260511_150433_001|task_001513_43707bfe|task_000029_21fde3c1,CalibForge|Terminal-Lego-15k|CalibForge|CalibForge|Terminal-Lego-15k|CalibForge|SWE-Smith-Seeds-Clean|CalibForge|TMax-15K|TMax-15K,4.1
regex-log,task_06166|task_13817|task_06126|task_06290|john-kurkowski__tldextract.3d1bf184.lm_rewrite__xyp6lbg8|task_06265|debugging_20260604_002443_003|pyfilesystem__pyfilesystem2-396|task_06358|task_06089,Terminal-Lego-15k|Terminal-Lego-15k|Terminal-Lego-15k|Terminal-Lego-15k|SWE-Smith-Seeds-Clean|Terminal-Lego-15k|CalibForge|SWE-Rebench-Tasks-Clean|Terminal-Lego-15k|Terminal-Lego-15k,4.2
reshard-c4-data,task_002193_2697352f|data-science_20260604_193356_006|task_001083_87ffd385|task_003344_882b8d3c|data-science_20260617_104707_006|task_12793|task_000591_320f1d26|file-operations_20260420_020307_003|data-science_20260606_172554_006|tw_125983,TMax-15K|CalibForge|TMax-15K|TMax-15K|CalibForge|Terminal-Lego-15k|TMax-15K|CalibForge|CalibForge|TerminalWorld-Seeds-Clean,4.2
rstan-to-pystan,data-science_20260604_194036_007|data-science_20260606_172606_007|data-science_20260604_002443_007|data-science_20260610_111012_007|scientific-computing_20260610_111012_001|data-science_20260601_053159_007|pymc-devs__pymc-7637|data-science_20260509_205636_007|task_000138_e5f9026c|task_000032_5b0167e2,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|SWE-Rebench-Tasks-Clean|CalibForge|TMax-15K|TMax-15K,4.3
sam-cell-seg,model-training_20260603_181444_001|vanvalenlab__deepcell-tf-673|task_009562_91210c7c|data-science_20260616_094815_008|model-training_20260505_093950_003|task_007296_a67e32b2|task_005624_f322de3b|data-science_20260606_172554_008|facebookresearch__fvcore.a491d5b9.func_basic__9v6fbo43|task_13495,CalibForge|SWE-Rebench-Tasks-Clean|TMax-15K|CalibForge|CalibForge|TMax-15K|TMax-15K|CalibForge|SWE-Smith-Seeds-Clean|Terminal-Lego-15k,3.6
sanitize-git-repo,security_20260510_062946_007|security_20260430_081156_007|security_20260416_172928_007|task_001329_30ac46c8|security_20260509_202829_005|task_11504|system-administration_20260603_181444_008|tw_329715|security_20260601_053159_003|task_12998,CalibForge|CalibForge|CalibForge|TMax-15K|CalibForge|Terminal-Lego-15k|CalibForge|TerminalWorld-Seeds-Clean|CalibForge|Terminal-Lego-15k,4.1
schemelike-metacircular-eval,software-engineering_20260604_002443_021|software-engineering_20260425_072438_022|software-engineering_20260419_065313_022|task_09619|software-engineering_20260615_143301_015|software-engineering_20260604_003113_014|software-engineering_20260601_053159_008|software-engineering_20260610_112157_021|software-engineering_20260418_190236_022|task_009887_3b3d8380,CalibForge|CalibForge|CalibForge|Terminal-Lego-15k|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|TMax-15K,4.0
sparql-university,data-querying_20260617_104707_001|task_002880_220861be|task_002912_e1cb19ea|data-querying_20260604_144210_001|task_002724_89ace20f|data-querying_20260511_015840_001|data-querying_20260604_193356_001|task_004227_00e8d97f|data-querying_20260510_054909_001|task_001641_fc8cebd5,CalibForge|TMax-15K|TMax-15K|CalibForge|TMax-15K|CalibForge|CalibForge|TMax-15K|CalibForge|TMax-15K,3.8
sqlite-db-truncate,file-operations_20260604_004411_003|file-operations_20260605_015435_002|file-operations_20260509_020109_004|task_008984_b55fbdb7|data-processing_20260605_015435_001|data-processing_20260611_205750_001|task_001082_55de7c66|data-processing_20260615_143956_004|software-engineering_20260604_003814_006|d0c-s4vage__pfp-126,CalibForge|CalibForge|CalibForge|TMax-15K|CalibForge|CalibForge|TMax-15K|CalibForge|CalibForge|SWE-Rebench-Tasks-Clean,4.1
sqlite-with-gcov,system-administration_20260509_111805_001|system-administration_20260414_080620_001|software-engineering_20260508_161717_002|software-engineering_20260513_205011_001|task_005220_4fbd47df|software-engineering_20260415_094424_001|task_004618_d562309e|task_000423_4dba82f4|system-administration_20260604_193056_009|task_003681_791f36e3,CalibForge|CalibForge|CalibForge|CalibForge|TMax-15K|CalibForge|TMax-15K|TMax-15K|CalibForge|TMax-15K,4.2
torch-pipeline-parallelism,software-engineering_20260414_211532_023|software-engineering_20260508_045740_023|software-engineering_20260414_080620_023|model-training_20260604_193056_002|machine-learning_20260508_180627_002|software-engineering_20260420_020307_023|model-training_20260415_182321_003|model-training_20260514_011125_001|task_002734_fc612574|task_000032_5b0167e2,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|TMax-15K|TMax-15K,3.6
torch-tensor-parallelism,model-training_20260508_045557_002|model-training_20260514_011125_001|model-training_20260604_003113_003|model-training_20260604_193056_002|model-training_20260610_112157_003|task_13171|software-engineering_20260604_003113_023|task_001030_45a9959c|software-engineering_20260414_211532_023|task_009562_91210c7c,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|Terminal-Lego-15k|CalibForge|TMax-15K|CalibForge|TMax-15K,3.8
train-fasttext,model-training_20260416_172928_004|model-training_20260510_053611_004|machine-learning_20260618_093107_001|model-training_20260511_150433_004|machine-learning_20260615_143301_001|model-training_20260415_002933_004|machine-learning_20260605_015435_001|model-training_20260508_045740_004|task_13481|task_001191_5d4f858c,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|Terminal-Lego-15k|TMax-15K,4.2
tune-mjcf,scientific-computing_20260604_003814_008|optimization_20260604_003113_001|scientific-computing_20260616_094815_001|scientific-computing_20260508_204815_008|scientific-computing_20260610_111012_008|task_000396_2ead682a|optimization_20260612_191200_001|scientific-computing_20260429_103257_003|task_000211_b569407c|scientific-computing_20260510_005520_008,CalibForge|CalibForge|CalibForge|CalibForge|CalibForge|TMax-15K|CalibForge|CalibForge|TMax-15K|CalibForge,4.1
video-processing,video-processing_20260604_144210_001|video-processing_20260603_181444_001|task_000113_8a2ee560|video-processing_20260508_045920_001|video-processing_20260417_112147_001|task_005228_4c636013|video-processing_20260419_065313_001|video-processing_20260429_103257_001|task_005184_470a6a5e|task_001922_6cf7ce11,CalibForge|CalibForge|TMax-15K|CalibForge|CalibForge|TMax-15K|CalibForge|CalibForge|TMax-15K|TMax-15K,4.0
vulnerable-secret,security_20260416_031414_008|task_006556_1963d425|tw_383451|security_20260617_104707_008|task_000178_625bd3e7|security_20260611_112034_008|tw_289006|task_009272_c6ca7bd4|security_20260502_090008_008|security_20260604_003814_008,CalibForge|TMax-15K|TerminalWorld-Seeds-Clean|CalibForge|TMax-15K|CalibForge|TerminalWorld-Seeds-Clean|TMax-15K|CalibForge|CalibForge,5.0
winning-avg-corewars,software-engineering_20260617_104707_025|software-engineering_20260508_045920_025|software-engineering_20260415_123352_025|software-engineering_20260606_172622_025|rts_task_9791637c7aaaa3b6246aad2d|games_20260603_181444_001|task_000246_a1b7a5cc|games_20260416_031414_001|rts_task_cf4a94edf1bb554d90da7f86|aspp__pelita-875,CalibForge|CalibForge|CalibForge|CalibForge|Recursive-Task-Synthesis|CalibForge|TMax-15K|CalibForge|Recursive-Task-Synthesis|SWE-Rebench-Tasks-Clean,4.3
write-compressor,software-engineering_20260604_144210_026|software-engineering_20260602_105139_026|software-engineering_20260508_045800_026|task_000185_d6f0bac7|software-engineering_20260419_112101_026|software-engineering_20260604_194036_026|task_002100_1c549b41|software-engineering_20260610_112157_026|software-engineering_20260610_111012_016|software-engineering_20260604_004411_023,CalibForge|CalibForge|CalibForge|TMax-15K|CalibForge|CalibForge|TMax-15K|CalibForge|CalibForge|CalibForge,4.6
