tb21_id,top1_source,top1_id,top1_score,tb21_preview,top1_preview,n_SWE-Smith-Seeds-Clean,n_SWE-Rebench-Tasks-Clean,n_TerminalWorld-Seeds-Clean,n_Recursive-Task-Synthesis,n_TMax-15K
kv-store-grpc,TMax-15K,task_000275_80030679,0.121166,"You need to build a simple KV store server using grpc that records number values for different string keys. Your server will use a Python dict as the KV store. A client will communicate with your server via RPC calls.

You need to:
1. Insta","You are helping a developer migrate a large number of legacy Python 2 packages to Python 3. Because of the volume, the team has decided to build a high-performance, centralized Go-based patching service using gRPC.",2,7,7,2,12
compile-compcert,TerminalWorld-Seeds-Clean,tw_289169,0.120653,"Under /tmp/CompCert/, build the CompCert C verified compiler (version 3.13.1) from source,
configuring it to the operating system and instruction set architecture of the development
environment. Ensure that CompCert can be invoked through /",Install `ansible-lint` directly from its GitHub repository (`https://github.com/ansible/ansible-lint.git`) into a Python 3.7 virtual environment located at `/tmp/test_venv3.7`. The virtual environment must also contain `ansible` and all oth,0,0,13,10,7
constraints-scheduling,SWE-Smith-Seeds-Clean,arrow-py__arrow.1d70d009.func_pm_op_change_const__uid6bkba,0.119641,"Find a 1-hour meeting slot for Alice, Bob, and Carol during January 15-19, 2024 (business hours: 9 AM - 6 PM, Monday-Friday) that satisfies their availability constraints and existing calendar conflicts.

Availability & Preferences:
- Alice","12-hour format (hh/h tokens) returns incorrect hour for 1 PM

#### Description

When formatting datetime objects with 12-hour format tokens (`hh` and `h`), the formatter returns incorrect values for 1 PM (13:00 in 24-hour format). Instead o",10,4,1,12,3
schemelike-metacircular-eval,TerminalWorld-Seeds-Clean,tw_730164,0.119147,"Write a file eval.scm that is a metacircular evaluator capable of interpreting the scheme-like language implemented by interp.py.
The eval.scm file should read exactly one line from STDIN, this will be a file path to a new .scm file that sh",Demonstrate how the C preprocessor can read from standard input by using `/dev/stdin` as an include path. You have two C source files to work with in `/app/`: `main2.c` (which includes `/dev/stdin`) and `file4.c` (which contains a `main` fu,0,2,6,19,3
password-recovery,TerminalWorld-Seeds-Clean,tw_18610,0.118666,"You need to perform a digital forensic recovery task. A system administrator has accidentally deleted an important file containing a password. The file was named launchcode.txt and was located somewhere within the /app directory.
Your task ","Analyze the network capture file at `/home/flag08/capture.pcap` to recover a password that was transmitted over the network. The capture contains a TCP session where a user typed a password, including backspace corrections (represented as `",1,0,4,8,17
headless-terminal,TMax-15K,task_004180_1dfac5f4,0.117748,"Implement the provided `BaseTerminal` interface. It provides a simple python interface to send keys to a headless terminal.

Make sure it supports the following functionality.

- Mimics a terminal, where the process starts as an interactive","We have an interactive bash script at `/home/user/setup_mounts.sh` that our team uses to generate user-space mount configurations. We are migrating our server provisioning to an automated CI/CD pipeline, and this interactive script is block",2,1,6,8,13
llm-inference-batching-scheduler,SWE-Smith-Seeds-Clean,scanny__python-pptx.278b47b1.lm_rewrite__36gjsryw,0.114625,"In this task you will implement an **LLM inference batching scheduler (shape‑aware)**
for a static graph LLM inference system. 
**Background **
When running large language models on hardware
accelerators (such as TPUs, RDUs, or bespoke infe","Recalculation of Group Shape Extents Fails

Description

There seems to be an issue with the recalculation of group shape extents in the `CT_GroupShape` class. When attempting to adjust the position and size of a group shape to incorporate ",4,8,0,1,17
make-doom-for-mips,TerminalWorld-Seeds-Clean,tw_217787,0.112673,"I have provided /app/doomgeneric/, the source code to doom. I've also wrote a special doomgeneric_img.c that I want you to use which will write each drawn frame to /tmp/frame.bmp. I've finally provided vm.js that will expect a file called d","The `/app/genci/` directory contains `syster.php`, a PHP script that generates parameterized image frame data from a stream of random bytes piped through standard input. The script accepts two positional integer arguments that select the ou",0,5,6,10,9
build-cython-ext,TMax-15K,task_002510_12753f45,0.112275,"pyknotid is a Python package for computational topology and knot theory.
I want to use its fast Cython extensions implemented (chelpers, ccomplexity, cinvariants), but it is incompatible with my existing Numpy versions in my system's global",I need your help fixing a regression in our numerical optimization engine. The source code is in a Git repository located at `/home/user/optimization_engine`.,6,14,6,0,4
log-summary-date-ranges,Recursive-Task-Synthesis,rts_task_dbfe7fd6f98ef686d4971762,0.111733,"You are given multiple log files stored in /app/logs. Each log file name follows the pattern YYYY-MM-DD_<source>.log (e.g., 2025-08-10_db.log), indicating the date of the logs and their source. Each log line contains an event with a severit","Inspect /home/infosec/logs and follow the README.md and EVIDENCE.md there.
The README forbids filenames with spaces and error.log.
Regenerate the manifest from the current log files, correcting names, excluding forbidden files, and removing",2,0,2,20,6
portfolio-optimization,TerminalWorld-Seeds-Clean,tw_5976,0.110595,You have a Python baseline in portfolio_baseline.py that calculates portfolio risk and return using nested loops. Complete the provided skeleton files (portfolio_optimized.c and portfolio_optimized.py) to create a faster C implementation. T,Run the `main.py` script using python3 and save its standard output to `/app/result.txt`.,0,1,1,18,10
fix-ocaml-gc,SWE-Smith-Seeds-Clean,scrapy__scrapy.35212ec5.pr_5998,0.110307,"I have been making some changes to the OCaml garbage collector, improving the sweeping performance by run-length compressing the free space in the major heap. I seem to have broken things though, as the OCaml compiler crashes while bootstra","Remove things deprecated in 2.6.0
https://docs.scrapy.org/en/latest/news.html#scrapy-2-6-0-2022-03-01",1,1,2,13,13
regex-log,SWE-Smith-Seeds-Clean,gweis__isodate.17cb25eb.combine_file__19ctjg4p,0.109959,"Write a regex expression that matches dates in the format YYYY-MM-DD appearing in lines that contain an IPv4 address in a log file.
If multiple dates are present in a line, the regex should match only the last date in that line.
Assume that","Duration calculations produce incorrect results for months and leap years

#### Description

When working with Duration objects that involve months and years, the date arithmetic produces incorrect results. This affects both addition and su",10,4,3,11,2
path-tracing,TMax-15K,task_000682_adf5f08a,0.109823,"I've put an image at /app/image.ppm that I rendered programmatically. Write a c program image.c that I can run and compile and will generate an image that's as close as possible to the image I put here.
Specifically, I will compute the norm","I am a researcher trying to organize my dataset of image embeddings. I wrote a C program to perform similarity search by computing the cosine similarity between a query embedding and a dataset of embeddings. However, my program is outputtin",2,0,4,15,9
hf-model-inference,TMax-15K,task_003688_38f20cc2,0.109265,"Set up a local service to run inference with a Hugging Face transformer model.

1. Download the ""distilbert-base-uncased-finetuned-sst-2-english"" sentiment analysis model from Hugging Face and save to the local directory '/app/model_cache/s","You are a Data Scientist tasked with building a reproducible data cleaning pipeline using standard Bash utilities. You have received a dataset of model predictions containing text inputs and confidence scores, but it is messy, contains miss",7,1,8,5,9
sanitize-git-repo,TMax-15K,task_003642_df95530a,0.109155,"Please help sanitize my github repository ""dclm"" of all API keys.

Please find and remove all such information and replace it with placeholder values as follows:

For example:
- If an AWS_ACCESS_KEY_ID is found, replace the actual value wit",You are tasked with building a data cleaning pipeline for a dataset containing potentially sensitive information.,1,1,0,17,11
overfull-hbox,Recursive-Task-Synthesis,rts_task_d89322f82556c6e120307527,0.10786,"Ensure that the LaTeX document main.tex compiles successfully using the installed TeX distribution and pdflatex compiler with no ""overfull hbox"" warnings. In doing so, the only edits you may make are to replace words in input.tex with their","Migrate the Go project in the current directory from vendor-based dependency management to Go modules using the instructions in `docs/migration_rules.md`.
Ensure the project compiles successfully, capture the full build output in `build.log",0,0,4,26,0
cancel-async-tasks,Recursive-Task-Synthesis,rts_task_6ed7331ef1f7beb744a9c347,0.106001,"Create a Python function called `async run_tasks(tasks: list[Callable[[], Awaitable[None]]], max_concurrent: int) -> None` where each task is an async job to be run and `max_concurrent` is the max number of tasks that can be run concurrentl","Initialize the Taskwarrior database using the fixture file at `/app/tasks.fixture.json` and modify it to match the requirements detailed in `/app/task.spec.txt`.
Then export all tasks to `/app/tasks.json`.
Afterwards, validate the export by",12,2,7,8,1
merge-diff-arc-agi-task,TerminalWorld-Seeds-Clean,tw_299505,0.102462,"mkdir /app/repo, then initialize a git repo at /app/repo.
Fetch the first git bundle located at /app/bundle1.bundle and ensure it is checked out into a local branch named branch1, 
fetching from the HEAD reference,
Fetch the second git bund",Configure the global Git configuration file to include a set of interactive branch management aliases. The aliases should be added to `/root/.gitconfig` (the global Git config) under an `[alias]` section and must be merged with any existing,2,5,4,19,0
financial-document-processor,Recursive-Task-Synthesis,rts_task_e3e15050ad5aaec4f9852f44,0.102369,"You have a collection of mixed document files in the `/app/documents/` directory containing both JPG and PDF files.

Your task is to:
 - Classify each document as either 'invoice' or 'other' based on document content.
 - Move all invoices t","Examine the files in `/app/elfUfiles`.
Use the custom magic database at `/app/custom.magic` to accurately classify which files are actual PDF documents (regardless of filename or extension).
Write the names of all PDF files found, one per l",0,2,3,20,5
largest-eigenval,TMax-15K,task_001331_787cad37,0.102183,"Complete the implementation in find_dominant_eigenvalue_and_eigenvector in /app/eigen.py.
""Dominant"" means the eigenvalue with the largest magnitude.
The input is a 2D square numpy array with real np.float64 entries, up to size 10x10, and i","**Final Objectives & Specifications:**
1. **TCP Service:** Implement a C++ TCP server listening on `127.0.0.1:9090`.
2. **Oracle Interrogation:** A stripped binary exists at `/app/jacobian_oracle`. It simulates the local Jacobian matrix of ",6,6,4,7,7
reshard-c4-data,SWE-Rebench-Tasks-Clean,hypothesisworks__hypothesis-2511,0.1011,"Help me create two scripts for managing the resharding of my dataset:

1. **/app/compress.py**: A script that takes an input directory and output directory as command-line arguments and reshards the data according to the following constrain","A git repository with the project this issue is about is checked out somewhere under / (commonly /<project-name>). Find it and work there.

Generate negative indices from the `slices()` strategy
For example, `slices(size=3)` should be able ",3,3,2,16,6
regex-chess,TerminalWorld-Seeds-Clean,tw_114834,0.098717,"Write a JSON file called /app/re.json that is a list of [regex, replacement] pairs. When executed in order with the Python code
```
def all_legal_next_positions(fen):
 for pattern, repl in json.load(open(""/app/re.json"")):
 fen = re.sub(patt","Implement a Dart REPL session that supports runtime package imports. In the repository at `~/git/dart_repl`, run the REPL tool (`bin/dart_repl.dart`) with the `built_collection.dart` package directory (`~/git/built_collection.dart/`) made a",14,7,3,4,2
path-tracing-reverse,TMax-15K,task_000767_884d306c,0.094682,"I've compiled a program at /app/mystery. Write a C program /app/mystery.c that performs an identical operation. You can do this by observing input output behavior, decompiling the program, or anything else. The effect of running ./mystery s","I've inherited an old legacy system for a forensics project, and we have a critical bottleneck: a proprietary binary tool located at `/app/legacy_encoder` whose source code was lost years ago. We need to replace it with a modern, open-sourc",0,0,4,21,5
