tb21_id,top1_source,top1_task_id,top1_score,top30_task_ids
fix-code-vulnerability,TMax-15K,task_003932_e210a4f2,0.1722,task_003932_e210a4f2|task_003691_2232d370|task_007062_247ffd7e|task_003359_88774b2c|tw_112563|task_009860_ec19d691|task_009451_aa14aaaf|task_008787_db0dc4f0|task_002856_b1eb79bc|task_004754_84d825c4|task_003787_156cb610|task_002196_c87e158c|task_003568_30071a13|tw_18564|task_008891_5126cf72|task_001854_c6263d81|task_004482_22f78776|task_009856_a9384805|rts_task_ea01b172d25a8058fad076e8|task_001216_67ba77e1|task_002106_acc55a06|task_000337_280359bf|task_001015_ab1f7a0f|tw_12477|task_007194_2b26e32d|task_000699_8860634f|task_004789_d88e5681|task_004653_c7dd0654|task_003147_649882e1|task_002822_94ec8f9e
fix-git,Recursive-Task-Synthesis,rts_task_f74684bf6defb192f47c68e0,0.1670,rts_task_f74684bf6defb192f47c68e0|tw_590222|rts_task_465af89e2a59dd451241d5ab|tw_702310|rts_task_2641cd3347920f94c56ee27f|rts_task_cf10effdd8d67aea775d62d9|rts_task_df0cbe3ce22780f240b3925e|rts_task_a9e595b12458a0cad5d0ca85|rts_task_a0fe3247d3252d5efed8f220|rts_task_aff716d5d0206c0c449c0868|rts_task_9a2e6306f28d3567e3628ac6|rts_task_af1274c18c15843e5b6c5ea2|rts_task_daf9e018c0a9f4b33419e56c|rts_task_93cdb994b0d124b00964e788|rts_task_79262a123ffad87d1866aa3f|rts_task_587584fa23841966d2def2d2|pimutils__todoman-299|rts_task_94287639555960c13379cebb|rts_task_40213a869c2829cb2d19a663|qiskit-community__ffsim-157|rts_task_35be4b7c90dc48a2ebbc9dfc|rts_task_49f22906987f17edabc54d4d|rts_task_c7076401a4402d3edca8a742|rts_task_aa446227bd208646e4c6df2b|rts_task_72db4e3d7d0deea56da0ed21|rts_task_ab5422e6a6594d4a5f661e13|rts_task_a6403b04f285eaf4970a139a|rts_task_023b6e6f7e269accfbcb2957|tw_14495|rts_task_a9fe86fdf8d9f23c709d34d2
fix-ocaml-gc,SWE-Smith-Seeds-Clean,scrapy__scrapy.35212ec5.pr_5998,0.1103,scrapy__scrapy.35212ec5.pr_5998|task_002069_676f7e46|rts_task_9af49a42deb8ac82e0032800|task_006632_f3ef10e7|task_004098_8dfac869|rts_task_16b28a27268db6bace108e51|task_006835_16f1acfe|task_003410_8c80b5c0|task_007711_88e7f349|task_007246_d0ce7f5d|tw_226228|task_003453_0e8fef25|enthought__traits-1346|task_001299_893f0118|rts_task_7a58c783d15c8b4129fce68c|rts_task_7479c2e29a5e14153548ee85|rts_task_53f2bafcac3a6e016bdc095b|rts_task_466243ba4445f8d1c8eae30e|task_003933_c0528f21|rts_task_93210bce64ebf94b1fdf8e7e|rts_task_afd54a2004d95e1fefed6657|tw_537906|rts_task_ecf04648678c94309cea74c2|rts_task_cc9dc3d2e82036e35913554e|rts_task_dd52b7812abd61685d24799c|task_009169_92436cfe|task_000258_82c82857|rts_task_1742e7d2a4613a425c838f46|task_007090_8f23eaff|rts_task_04b73e28cd054be116e3576a
gcode-to-text,TerminalWorld-Seeds-Clean,tw_24770,0.1610,tw_24770|termcolor__termcolor.3a42086f.lm_rewrite__jhdpxzam|scanny__python-pptx.278b47b1.func_pm_class_rm_funcs__3ua3v7s0|sdv-dev__rdt-905|task_008155_2c751ecb|lincolnloop__python-qrcode.456b01d4.lm_rewrite__443c7kwz|tw_112619|task_003934_ff2aa56d|tw_12117|cornellius-gp__gpytorch-782|task_001945_01fbab63|tw_447560|task_006883_3c650922|astropy__pyvo-204|task_004784_7e9d9aca|rts_task_7ebe0dd2cdcc64bb72fe4b4a|task_000396_616de040|python-openxml__python-docx.0cf6d71f.combine_file__pu7zvue4|tw_12704|tw_329715|tw_10593|rts_task_08c789d0adf8d42ed74e0ef3|rts_task_49d07d87e073052faac71be3|task_004389_65e62efa|tw_94812|task_002971_3b22acfc|rts_task_6b7a3fbf79db6108819c0941|task_001261_72230506|google__textfsm.c31b6007.func_pm_class_rm_funcs__l5u9pdpm|tw_11184
git-leak-recovery,TerminalWorld-Seeds-Clean,tw_459969,0.2391,tw_459969|tw_277043|rts_task_09ae9a494b67fc5452e1edfe|tw_154236|tw_656690|task_004972_d0bb1962|task_004449_eeb51b55|tw_41811|task_001488_d7b97b04|rts_task_0bfc2e5c111a4e5e0cd1becc|rts_task_fe3b55bb0febb197b0beb2e6|rts_task_7b5a44bd73269586cfc785df|rts_task_a389a4109133d56f1013da29|rts_task_da174f891771a5809d674000|task_006107_78db1be0|rts_task_277e2318131c055e68a97ebe|rts_task_7b108870c65a722711166e48|rts_task_a14728d1c6a7c3fe135ec284|rts_task_96a58cfb62cc35dc61870a8e|rts_task_ac5245558dc0ff1e8d247bd0|task_009428_0dd86385|rts_task_bb770d0cc903dd1fa4d9f358|task_001904_f82f3bc6|rts_task_2ff60e09e4cb44df6e53a0ff|rts_task_14b29f71bff46f1315aa70ad|rts_task_3ef79c99039b59aca33fad45|rts_task_cf39d13ff750e8c24e87e44e|rts_task_8a20b05b44864ee95f4480f9|rts_task_de85dd8515647e7c68908dfa|rts_task_ac303c937868046e1accd390
git-multibranch,TerminalWorld-Seeds-Clean,tw_605716,0.1362,tw_605716|koaning__scikit-lego-736|tw_241831|rts_task_b20dd3d112037155384c8973|rts_task_6797a56c1b1bf7633b8b2062|tw_380902|tw_13121|rts_task_2c112ac46ed62dcf0f8127bd|task_004003_6ddb88c7|task_007705_f50eb739|rts_task_346f023eec746a50316f7ca1|tw_313804|tw_27037|boto__botocore-830|rts_task_bd1d694445a45ff91b70fb34|tw_13272|rts_task_339122c72d51e2a1f7a7752a|rts_task_cf457446831c5c062d5d52d8|rts_task_41d4623c09a4288448f22ea0|conan-io__conan-18444|rts_task_dd3ee0663c6b1ba32df729ea|pandas-dev__pandas-59636|rts_task_cb9bf16aba61402353d3862c|rts_task_a0ec3ec2222e4a2592369281|task_009633_30f8123c|rts_task_ac4bd52ea3edd8854b978ebb|task_001655_6109e3d7|rts_task_6ab5a632a2a3ed7cce915a03|tw_100278|rts_task_a664921321fe6bf443660427
gpt2-codegolf,Recursive-Task-Synthesis,rts_task_966d97470413cf6b19efebe6,0.1462,rts_task_966d97470413cf6b19efebe6|rts_task_67a8167663085a7842b7a2d4|rts_task_6861502e405cdd21e5c3ce65|jax-ml__jax-28022|tobymao__sqlglot.036601ba.func_pm_ctrl_invert_if__5h5hz0q0|backblaze__b2_command_line_tool-332|rts_task_40d5eee58ba655e32b625fef|task_004306_dec739f5|task_005766_6b222e1e|davidhalter__parso.338a5760.func_pm_op_break_chains__pt0nzxrt|rts_task_bc421c213673485d42395b42|rts_task_924ada63336f777f196ea697|aaugustin__websockets-627|task_002222_0cde20c8|rts_task_b869f188d48c11144206bfdf|task_006676_3fdcc01e|task_003592_cab07b3e|rts_task_ffb3fafae65c2093c0d58879|tw_177994|tw_18273|tw_143212|task_000371_d0ff3ecb|task_001561_d6785f7c|task_008706_debd496c|tw_18271|task_000042_6e4922c3|task_009180_e92b197f|task_008162_e3ba09cb|tw_713340|rts_task_26a2daa37adc795dd5fe3d2e
headless-terminal,TMax-15K,task_004180_1dfac5f4,0.1177,task_004180_1dfac5f4|tw_32666|tw_17320|task_001140_dbf205ee|task_002308_ba5d7cfa|tw_84824|rts_task_ab6bea9ce7e17544c54c8774|pallets__click.fde47b4b.func_pm_class_rm_base__8v2bn1m9|tw_266088|rts_task_e92b0ba58c685356bba990a3|task_005568_0e07ecaf|task_005884_6675709f|task_003274_6648144a|task_001740_02f119aa|task_002700_8893e754|tw_461445|rts_task_e938b32e001cf61a8ce53a9d|zopefoundation__restrictedpython-272|rts_task_701e16e9d021bd75c7ab3ba5|rts_task_ab1b8e55bf9ba9559d50a4f7|rts_task_386593fba9f88b99a59f85ae|rts_task_848461b7c422a94d40dea2b6|task_003348_40a837af|task_001548_4a010fd4|rts_task_bcdd021bad0ed8580578c876|task_004322_bb9bb5b0|tw_381989|rsalmei__alive-progress.35853799.combine_module__8md0qs0g|task_009255_4cc71274|task_006887_69fc2a10
hf-model-inference,TMax-15K,task_003688_38f20cc2,0.1093,task_003688_38f20cc2|task_004048_8e56795e|marshmallow-code__webargs.dbde72fe.lm_rewrite__3wxzav1f|rts_task_68cc90a32975bd95ac1c801f|getmoto__moto.694ce1f4.pr_5115|oauthlib__oauthlib.1fd52536.combine_file__fgifu2ez|pybamm-team__pybamm-4019|tw_105743|tw_124511|task_002330_880601ad|chardet__chardet.9630f238.func_pm_remove_cond__vjza6vvb|rts_task_e9600a610871c3261ed7fe67|task_008706_debd496c|rts_task_966a0e6cd29519413329006c|tw_133584|kayak__pypika.1c9646f0.combine_file__dqqxg9mv|task_005029_b699e7f9|task_009633_30f8123c|encode__starlette.db5063c2.pr_2194|marshmallow-code__webargs.dbde72fe.lm_rewrite__4niyfvx2|tw_133456|tw_133451|task_008848_ed5ad88a|rts_task_a23fd71917150ae2e7211e50|task_006951_3b05a259|tw_102785|tw_462454|task_007332_0e75c21c|tw_424433|rts_task_b957502558743cfb9b597792
install-windows-3.11,TMax-15K,task_007301_ebf01c80,0.2313,task_007301_ebf01c80|task_008098_92d1e2a9|task_000720_08bf9efe|task_002241_459c6324|task_008350_481d9ff8|task_004685_568242f7|task_009023_a09cc4a6|task_005135_29890231|task_003288_e131a9f5|task_000251_ed1bdd92|task_000985_d0b78bf5|task_002300_f7cbc374|tw_133769|task_004244_ddb25666|task_003133_85965df1|tw_223822|task_003951_3539778b|task_005009_cb00ea61|tw_502937|task_003040_cc415d28|task_003540_79cd0003|task_003661_63534d3f|tw_133365|rts_task_b8b12e93ac33e984118e8019|task_005279_8bcea342|task_000179_6760c516|rts_task_fad5f8cb1801e8eda61752d4|task_009470_c3e334a9|rts_task_ef2c706fa739612837594354|task_002014_b19e562c
kv-store-grpc,TMax-15K,task_000275_80030679,0.1212,task_000275_80030679|yukinarit__pyserde-430|tw_31286|tw_285202|task_008544_f9b8d1a8|rts_task_f442eaac088ef3d8d619cbf3|task_004013_2bc3f179|task_002869_18f98df5|task_003505_ad145a89|d0c-s4vage__pfp-112|robotpy__cxxheaderparser-50|tw_17530|tw_6546|hypothesisworks__hypothesis-2602|task_002762_d8241b1c|jcrist__msgspec-538|task_000209_cecbee3d|tw_307573|agronholm__typeguard.b6a7e438.lm_rewrite__3wwei82g|task_000499_964e537b|tw_141478|python-attrs__attrs-1319|task_007053_223bb396|task_002502_e7dfd462|tw_16629|task_008532_97194107|task_005451_8a54c613|python-attrs__attrs-1372|mahmoud__glom.fb3c4e76.func_pm_class_rm_funcs__3fi17jsa|rts_task_db4ff186e2993e0db4d02db4
large-scale-text-editing,SWE-Rebench-Tasks-Clean,tobikodata__sqlmesh-2903,0.1427,tobikodata__sqlmesh-2903|tw_17688|tw_166221|adrienverge__yamllint.8513d9b9.pr_572|task_004933_47ba1af1|task_000961_5ae53985|tw_360189|task_003021_fa6b270f|rts_task_1112124465d5ae29c8a41169|task_000944_bd55a239|rts_task_ba0388f558e441ad03c9bfd1|task_000748_9f60c8cd|tobikodata__sqlmesh-2400|task_001506_b89a3ef2|task_002728_582f14fb|task_003420_5ba7e8c0|tobikodata__sqlmesh-3457|task_003373_9b699abd|tw_161913|tw_247983|task_005884_6675709f|cantools__cantools.0c6a7871.pr_697|rts_task_bd8c4de2486b144163196de2|rts_task_8faa701fceec4b3cc25c367b|rts_task_fb0ec5f373387574b279680d|task_003649_1b880150|task_008539_2367e244|getnikola__nikola.0f4c230e.combine_file__oroam8mp|task_006562_ea28cba4|task_002575_b5e5e18c
largest-eigenval,TMax-15K,task_001331_787cad37,0.1022,task_001331_787cad37|tw_276570|facebookresearch__fvcore.a491d5b9.lm_rewrite__mynbot4f|facebookresearch__fvcore.a491d5b9.func_pm_remove_assign__jafbltn2|qiskit__qiskit-terra-8288|e2niee__pandapower-2017|task_004581_071cb5be|task_004244_018a965b|facebookresearch__fvcore.a491d5b9.combine_module__uxncj1ip|tw_487175|pydicom__pydicom.7d361b3d.lm_rewrite__vtzbgnft|task_009400_ed534b1d|task_001686_0a197c64|pvlib__pvlib-python-509|rts_task_27d9611d05b6a0d7288b1436|task_006681_9588cda1|rts_task_b0259cede190f1ef494456f5|seperman__deepdiff.ed252022.lm_rewrite__6kwonvhg|rts_task_d6a0048a7d73c571d6da9430|task_000275_80030679|cornellius-gp__gpytorch-216|tw_346538|keras-team__keras-19636|rts_task_442454f182e86fd3a84e25ed|rts_task_be70f4026b0254db1d6f9ad8|pylint-dev__astroid.b114f6b5.pr_2438|rts_task_f7b83ec251add0cc63f58fe2|tw_346504|openmdao__openmdao-2738|rts_task_3c5eeea800a83b65977501f4
llm-inference-batching-scheduler,SWE-Smith-Seeds-Clean,scanny__python-pptx.278b47b1.lm_rewrite__36gjsryw,0.1146,scanny__python-pptx.278b47b1.lm_rewrite__36gjsryw|facebookresearch__fvcore.a491d5b9.combine_module__uxncj1ip|keras-team__keras-20550|cornellius-gp__gpytorch-782|task_002877_a3d22d79|cornellius-gp__gpytorch-973|task_000949_0e9db188|pymc-devs__pymc-7809|task_005802_131d6e7d|task_002373_10e4f3b0|task_007204_272c2370|task_003720_a81876de|keras-team__keras-20602|task_003947_235ae69c|task_001304_c776231b|onnx__sklearn-onnx-1169|task_008161_487a62d3|scanny__python-pptx.278b47b1.func_pm_ctrl_shuffle__t11tjo6y|task_000433_e5c3ea71|pennylaneai__pennylane-5986|task_007166_c359faa4|task_000587_a3d132a4|rts_task_6e856ad684edb9435074706f|getmoto__moto.694ce1f4.func_pm_remove_assign__l4euv285|task_007778_3c192825|task_005150_d9bdd8c7|pybamm-team__pybamm-1058|task_001343_f68f92fa|task_004308_7a13f962|task_004483_ebe28b38
log-summary-date-ranges,Recursive-Task-Synthesis,rts_task_dbfe7fd6f98ef686d4971762,0.1117,rts_task_dbfe7fd6f98ef686d4971762|task_008799_f9d60ee9|rts_task_c9596d5682ae9b62934b9a99|task_005591_dd19169f|arrow-py__arrow.1d70d009.lm_rewrite__47m8sbrj|task_008501_041ca245|pyupio__safety.7654596b.lm_rewrite__4dskd93y|tw_310042|tw_527904|task_008392_ca9934d2|rts_task_0bef7104da26636de2fd18a6|rts_task_a32d18aeb0048652e94f2a09|rts_task_b902c1b90bea627ef27650c3|rts_task_36dadfa64af3c0fb66d02e77|rts_task_c9506d38dd91631937a98aeb|rts_task_01c97a04690dc38b921a9964|rts_task_7a2e00b6cb2843d7f8a3066e|task_007188_e09be609|rts_task_1973d26ce02418226512930c|rts_task_70a9a26f34d9ec7deea464d2|rts_task_d3b782ad29ddd57fc06bdc78|rts_task_5959f5666814a0d23f29a7f8|task_000528_cb64e762|rts_task_343a16969333d4c4d64eb102|rts_task_b215f93e2e5da8d90f4b2f70|rts_task_f286fe22e4537e25f7acda3f|rts_task_6fe3ec168c6a41f68ed2f567|rts_task_9c011575167e786d41631654|rts_task_958f51a249fcb33d2768efb6|rts_task_86fc9ae7ab9a99c8d46262aa
mailman,TMax-15K,task_004633_699622fd,0.3350,task_004633_699622fd|task_000482_d54c11a6|task_003221_5d5043c2|task_001291_a1ca084c|task_006143_6d8cc883|task_001386_74f129cc|task_006961_afbb2f87|task_005565_c80522ea|task_005051_999f8222|task_007759_975b92b3|task_003542_18d654e6|task_003069_80c9e8f1|task_005376_fcbc3a2d|task_008795_b7f4602f|task_004957_032a6c0b|task_002687_4793d870|task_000472_bda99d41|task_001377_21657d03|task_006682_2131f432|task_004723_794b068a|task_008733_533233c6|task_005691_534d695d|task_005667_3b898323|task_005394_eda085b1|task_004742_b21c40dc|task_004180_1658d3d8|task_001573_284ed7a8|rts_task_be9e4b097d88db9821c98f33|task_007647_93da3f28|tweepy__tweepy.91a41c6e.func_basic__tgjarpgy
make-doom-for-mips,TerminalWorld-Seeds-Clean,tw_217787,0.1127,tw_217787|pallets__jinja-1449|task_001757_1b5ee130|drivendataorg__cloudpathlib-185|rts_task_bc48566888c7048abaccdffc|rts_task_ff2d2fbc0b61ef5f6c13ef5a|task_004618_d562309e|davidhalter__jedi-2018|aio-libs__aiohttp-10300|tw_112619|task_003696_4aabd92d|tw_94812|rts_task_76d8d60718f9db6e1d9ecfc3|task_005337_87a5b621|task_004659_f7c6f412|task_003547_d6523a1c|rts_task_f43a6f90248de42693140954|tw_434190|tw_205089|rts_task_47be7e6b2af1b5c0e7d8e5c1|rts_task_6cbe4336faefc6b5d83811f8|task_004478_9571aa32|rts_task_62649b3a98ff2f083dbba906|rts_task_1f0e510312b1f1c8b8acc5f0|pyomo__pyomo-3017|task_005033_82859952|rts_task_31da032e5e2926ea4f81fbf6|tw_12306|task_000379_e3259e18|rts_task_b427e341a62e73ac00c15269
make-mips-interpreter,SWE-Smith-Seeds-Clean,conan-io__conan.86f29e13.func_pm_remove_assign__vt2zl5s6,0.1397,conan-io__conan.86f29e13.func_pm_remove_assign__vt2zl5s6|task_003914_d9c1a0ff|task_006522_4be98413|rts_task_8475978e4361966284f9a2aa|tw_217787|task_004659_f7c6f412|rts_task_787ad0bd3528db818c301164|task_009931_75cb6bc9|task_001757_1b5ee130|rts_task_76d8d60718f9db6e1d9ecfc3|rts_task_69770766db9f1aad9222c6a9|aaugustin__websockets-543|task_005337_87a5b621|task_003696_4aabd92d|rts_task_265d195b93c70a7ecf3b4c9d|rsalmei__alive-progress.35853799.combine_file__e3sa41ee|rts_task_553c2a6fb722bb4365106e21|rts_task_abc4f50bac77ece31b7b4c4a|task_004670_74f17af8|Suor__funcy.207a7810.lm_rewrite__2vgfqsf8|theskumar__python-dotenv.2b8635b7.pr_456|rts_task_52a962d6d68b73c1ddba4309|rts_task_bdc7b03261cf73df2b159f82|rts_task_0921fd1f9818a6a729469d21|tw_418406|tw_15649|rts_task_0c5596cdbb72a89d46879d0a|task_004511_903961d9|tw_274255|task_003334_bead391f
mcmc-sampling-stan,TMax-15K,task_000421_7152a39e,0.2491,task_000421_7152a39e|task_002098_e267701e|task_005102_2c84eabc|task_000032_5b0167e2|task_001096_7c9b703b|task_000371_d0ff3ecb|task_004978_eb8f7bc8|task_000683_e82aa245|tw_93548|task_004745_0e2059dd|task_002845_3b3e5dc4|task_007931_92cad251|task_002113_3b81c1b9|task_007167_48f7f308|task_003604_654d2b8c|task_002379_03006284|task_003934_41bb92d3|task_000607_a15537ed|task_008944_ba409078|task_002916_546eb936|task_005921_ce284c44|task_005309_e36db87c|task_005221_2bfde411|task_004616_d8e6ccb6|task_003058_80b78b29|task_000144_8d5c2762|task_000517_14b0e0e6|task_007249_03ed8fb2|task_006035_9660cf08|task_001150_4f7936f4
merge-diff-arc-agi-task,TerminalWorld-Seeds-Clean,tw_299505,0.1025,tw_299505|rts_task_70036f7a3c2309093d455b57|pymc-devs__pytensor-1435|rts_task_2e0587f80f48b326ca9d562d|rts_task_63530e1abc00de1b8866e6d1|rts_task_c4fb6d0f07fae7f2a0392895|rts_task_06be1ca038c7ec3b4c990f98|rts_task_1b3d9af81f6c253e20d7b143|hypothesisworks__hypothesis-2602|tw_85723|iterative__dvc.1d6ea681.pr_9548|rts_task_9d27067383c0c6d86a9528dc|rts_task_0e95a09ab684a64a58be7636|rts_task_ed0133ae0e72334f4559c6fc|rts_task_ff5cb4f8cd0904db548b0c11|rts_task_9e1005a4b0e906d35c8a30d6|rts_task_c858882b8dfbed9573820c8b|materialsproject__custodian-183|rts_task_9e22c7889b8677c55188e5c8|rts_task_e3ccdbef7c900eaa04996b9c|rts_task_af2d15e9717409a57a571f17|tw_39289|tw_517445|rts_task_cb23380edfc10eb96d428b9c|rts_task_0e80e89c4dcb4386ccb28bb9|dataversioncontrol__dvc-562|aws-cloudformation__cfn-python-lint-2006|rts_task_b579b13cb4de4bfa0877ab0b|weaveworks__grafanalib.5c3b17ed.func_pm_remove_assign__vt17lg65|rts_task_c3b4d9155f6ded0843cba9f8
model-extraction-relu-logits,TerminalWorld-Seeds-Clean,tw_718060,0.1689,tw_718060|task_007702_7e7a14c3|theacodes__nox-401|task_004705_e79f1728|task_000964_68c6830d|task_000693_5283d8b9|tw_92921|burnash__gspread.a8be3b96.func_pm_ctrl_invert_if__d7erwm6l|task_000621_d087976d|task_007479_131c3a24|task_007192_8fa34dd5|mpmath__mpmath-713|task_006884_ed3c9dff|task_008223_43ecb72c|task_003904_14adfb44|burnash__gspread.a8be3b96.func_pm_ctrl_shuffle__o621cgb3|task_005567_c3d59bd5|qutip__qutip-2596|task_004687_a10f0794|task_003103_c5ee5fa5|task_004193_40254a02|task_004410_3fba3429|task_001999_b5c51915|task_004144_55a3f1b9|task_002272_5304eb56|task_007496_4630e0a9|task_009442_1bf1775c|task_004213_ebf923a4|task_000989_67c9055d|task_007531_f3b34774
modernize-scientific-stack,TMax-15K,task_004192_49020618,0.1708,task_004192_49020618|task_003829_8dcdc478|task_000494_147e8440|task_003183_b36779ee|task_005753_53c67a65|task_000009_8e53cc34|task_006912_bf8f8050|task_001731_51e8c1bc|task_000978_8712d313|task_004749_4c24494f|jupyter-incubator__sparkmagic-572|rts_task_7836dcfef37937c57280ca02|task_009809_b8dd17cf|task_004242_d7404245|task_004503_8e8d87d4|task_001928_3cefdf14|task_005370_c62cd9de|task_004761_ab6307db|rts_task_7567f041d66278390f3af9a7|tw_487175|task_002134_8deb3f74|rts_task_b0259cede190f1ef494456f5|task_001441_f0428f21|task_001372_52718284|task_006712_d8a6f827|task_002518_4a8fc267|task_004096_4ffdffa7|tw_21631|task_006729_3a6792b2|task_002447_bc741acc
mteb-leaderboard,TMax-15K,task_003277_236d985f,0.1840,task_003277_236d985f|task_006105_68152eb8|task_003406_2bceda61|task_007512_c76631bb|task_002008_d1df4907|task_006745_d71ae594|berriai__litellm-3470|task_001518_d011552b|task_000907_9beb7504|rts_task_eab6205971c16154d4c2b493|task_007778_3c192825|task_003348_40a837af|task_001912_cf98b52f|task_007422_8d4d373c|task_002877_a3d22d79|task_000869_13dd8dab|task_005259_e2f898ae|task_000660_1a27985b|task_009847_306d0a4b|task_008408_f962b456|tw_491071|rts_task_fe9b38379292388dd5e39009|rts_task_c51f023173f7b2f61465a9af|task_004745_0e2059dd|task_008279_e6f50253|task_006717_970c832b|task_003685_7502ce0e|task_004599_b83423b4|task_004605_ea45237e|task_003335_afedb582
mteb-retrieve,TMax-15K,task_000528_cb64e762,0.1961,task_000528_cb64e762|rts_task_abd2d2db375ec35a34770513|task_006105_68152eb8|rts_task_fe9b38379292388dd5e39009|task_003277_236d985f|task_003406_2bceda61|rts_task_6a81762bd5745f498f36b83e|rts_task_6580a3eee1ad1dc263dd3cba|task_005993_b0b9d0f7|rts_task_eab6205971c16154d4c2b493|berriai__litellm-3470|task_000682_adf5f08a|rts_task_c51f023173f7b2f61465a9af|rts_task_4211c0d68f0910d3a1094ef6|rts_task_8613e031c0f8d326e880e1eb|task_006745_d71ae594|task_009632_775c85dc|task_002008_d1df4907|task_001518_d011552b|tw_323887|task_000415_03323c43|rts_task_b9482fbebeb110e4699fcc99|rts_task_97cc74363b561e901024272b|rts_task_c07d2623a0a99b18876ccb0b|rts_task_1297af62a50a4ef6a8ec01ac|rts_task_e69fdae3612dcbc49b035654|task_009847_306d0a4b|task_003311_a2aba0d7|task_000907_9beb7504|rts_task_1a75f6db1037faac456cba5e
multi-source-data-merger,TMax-15K,task_002615_8eea9404,0.1330,task_002615_8eea9404|task_002632_6341561d|task_007122_d2ab6c50|task_004631_8541a71a|task_002333_9fc62ff2|task_007187_3a9119a5|task_007012_d2164720|rts_task_dc09e01a32cfdb179f53cafb|task_002684_5ca3cec9|task_004920_6cbed6a5|task_005578_6f541775|tw_127612|rts_task_ef82c22e7539233dd557cf38|task_006213_07b929f6|tw_315983|task_005916_27c4458f|task_001796_5922fe15|task_000309_204aecd4|task_002307_b945c419|rts_task_8aff7defcfeb57e4d342612c|task_001423_d46207e6|tweepy__tweepy.91a41c6e.func_basic__tgjarpgy|task_001247_88436d84|rts_task_a45fff91226d1b02c4a69c6b|tw_316028|Instagram__MonkeyType.70c3acf6.lm_modify__h7lg0ym5|task_003563_844ae8ac|task_004928_fc8a517c|task_009758_223e9a7b|tw_584886
nginx-request-logging,TMax-15K,task_005562_00c4dfae,0.1433,task_005562_00c4dfae|rts_task_53cb9048161f35406c217a59|task_002992_459a7eb5|task_007251_916542d7|rts_task_a4d77e401ddc2927ecc1f508|task_000444_a1f0ce4d|rts_task_325dd276e40f557ec1fb467e|rts_task_320523b1d794e753ca4c0438|rts_task_359a62b537f799ec54773078|task_007724_26bad570|rts_task_2b569bc698afe9f7fe0e0b3c|task_000171_b8f5cb4d|rts_task_f465ad8a5db77bcd5d8f6323|task_004598_022cca30|task_005363_a72205fa|rts_task_5e2ccc6f4d6304bda4cabc38|rts_task_b7278b3541da064618cdb843|task_007431_1773d3c8|task_004501_759ef1e6|task_002641_f90f4551|task_004724_00bbf6b2|rts_task_ff821605971c78302d5e7233|rts_task_a3213dc42d14eb6e79080b36|rts_task_bd2d15451ac2371b47de839e|tw_134374|tw_321921|rts_task_b8f2be7b3e18eb30dcac5c22|task_000983_14f6283f|task_004376_f51c10c3|task_009412_72ebcb15
openssl-selfsigned-cert,TerminalWorld-Seeds-Clean,tw_526697,0.2122,tw_526697|tw_16895|rts_task_7c2c9533c50d05a84a2b2980|tw_508682|rts_task_75542adcd1bb4680a7cdedc0|rts_task_a8a49001c63725f5108ecce4|rts_task_b78d7c44b670b3377f70afdc|tw_324541|task_000958_b2a9b10b|rts_task_ac5bae979fa490a126c01773|tw_235174|tw_235183|rts_task_06680955a6ae8a8fd821bfea|rts_task_79595937f22bb339c38acd18|tw_672428|rts_task_f0b16b217cfd063da11877c3|rts_task_27a5ade7d70120c1945ffd2d|rts_task_5098ea63d82a7588ca288982|rts_task_a48886dc5304c0193eb177b0|rts_task_90887ef0650ffe48a439f135|rts_task_35dad79ba3239ddb16ef2598|rts_task_a746e016182468e180789b8b|rts_task_1ff1537f39db9ed0b198d9e6|rts_task_835acd66937cb698ac5b268c|rts_task_71ae77b07f0d4817a976a159|rts_task_065d7db81cb034ec513d3e75|task_006239_04bef22f|rts_task_1d732ca4a50b7a7e1148102c|rts_task_84a92476f446f4bfff3015c4|rts_task_3f693659c832ee9933631caf
overfull-hbox,Recursive-Task-Synthesis,rts_task_d89322f82556c6e120307527,0.1079,rts_task_d89322f82556c6e120307527|rts_task_a4897bfd8ba8ac16af616059|rts_task_210815961cc7c0fd739fcac0|rts_task_db13bc158b3dfd8b13ca0f8f|rts_task_e001d67805768a09ff73333a|tw_453279|tw_495570|rts_task_540fb94fcf583cc0d47f4bec|rts_task_e0aba33a2a9b697f0170c7ff|rts_task_f60b35a6555f2a94f80c09a7|rts_task_0671c14dff57b9cade9ba19e|rts_task_e367f4dc88b198a119068e98|tw_96480|rts_task_9b6d380440d0cb755a4edb3b|rts_task_f4784fc224208f2ae3279047|rts_task_c15bb61f5a8da4c308315ab6|rts_task_5a2712189ac9b42a55682548|rts_task_fbe3966d75b7f93788c811c1|rts_task_924f9f0ed463cdf3ffc00d1a|rts_task_cbd2d0fd195fcda869f5bd06|rts_task_37cd069d4e2503cca1d43874|tw_287590|rts_task_19564486e451c44f27f3d615|rts_task_dddb5e8c3c9ec7a00091daf6|rts_task_42dbe1500f876578d41c1cac|rts_task_683d718e8f29022bb3d5fdae|rts_task_39ca3ce39a21dc04cccb3daa|rts_task_41c1aa9d4da5f24f91356fa5|rts_task_8069dcfe0411687ce6c1fab8|rts_task_2ba7018d900d389630b1463e
